ENSGene	GRCh38	GRCh37
ENSG00000226741	LINC02554	CTA-929C8.6
ENSG00000249285	AC114981.1	RP11-81B23.1
ENSG00000236854	AL121656.1	AL121656.5
ENSG00000257342	AC025165.2	RP11-571M6.7
ENSG00000225299	AL139240.1	RP11-344A5.1
ENSG00000271643	AC112220.4	RP11-10C24.3
ENSG00000226448	RPL7AP51	RP11-93L14.1
ENSG00000271020	AC112220.2	RP11-10C24.1
ENSG00000273360	AC022017.1	RP11-210G22.1
ENSG00000267269	AC010776.1	RP11-2N1.1
ENSG00000247765	AC068446.2	RP11-32B5.7
ENSG00000258415	AC060814.1	RP11-32B5.4
ENSG00000242973	AL591242.1	RP11-446F17.3
